dataset,regime,u,f,s,draw,n_corrupted,restored_frac,n_clean,wrongly_flipped_frac,restored_frac_unmarked,n_unmarked,restored_frac_falsely_marked,n_falsely_marked,restored_frac_inverted_scale,n_inverted_scale
pilot_holdout,full,0.5,0.03,0.03,3,152,0.3684210526315789,587,0.03577512776831346,0.31746031746031744,126,0.7857142857142857,14,0.125,8
pilot_holdout,full,0.5,0.03,0.03,4,179,0.35195530726256985,560,0.030357142857142857,0.3620689655172414,116,0.8571428571428571,14,0.05714285714285714,35
pilot_holdout,full,0.5,0.03,0.03,5,179,0.31843575418994413,560,0.030357142857142857,0.36363636363636365,121,0.5,12,0.14285714285714285,35
pilot_holdout,full,0.5,0.03,0.03,6,177,0.2711864406779661,562,0.04092526690391459,0.29457364341085274,129,0.6923076923076923,13,0.030303030303030304,33
pilot_holdout,full,0.5,0.03,0.03,7,154,0.2922077922077922,585,0.018803418803418803,0.29457364341085274,129,0.5384615384615384,13,0.0,10
pilot_holdout,full,0.5,0.03,0.03,8,168,0.3630952380952381,571,0.024518388791593695,0.40310077519379844,129,0.6428571428571429,14,0.0,24
pilot_holdout,full,0.5,0.03,0.03,9,153,0.32679738562091504,586,0.023890784982935155,0.2755905511811024,127,0.8571428571428571,14,0.0,9
pilot_holdout,full,0.5,0.03,0.03,10,155,0.3419354838709677,584,0.03595890410958904,0.3488372093023256,129,0.5,14,0.0,11
pilot_holdout,full,0.5,0.03,0.03,11,158,0.33544303797468356,581,0.029259896729776247,0.336,125,0.7857142857142857,14,0.0,14
pilot_holdout,full,0.5,0.03,0.03,12,162,0.3148148148148148,577,0.038128249566724434,0.3488372093023256,129,0.46153846153846156,13,0.0,18
pilot_holdout,full,0.5,0.03,0.03,13,152,0.375,587,0.02555366269165247,0.3488372093023256,129,0.7857142857142857,14,0.0,8
pilot_holdout,full,0.5,0.03,0.03,14,166,0.3433734939759036,573,0.02443280977312391,0.36134453781512604,119,0.6428571428571429,14,0.0,22
pilot_holdout,full,0.5,0.03,0.03,15,168,0.31547619047619047,571,0.03152364273204904,0.30952380952380953,126,0.6923076923076923,13,0.041666666666666664,24
pilot_holdout,full,0.5,0.03,0.03,16,163,0.3558282208588957,576,0.022569444444444444,0.3643410852713178,129,0.7142857142857143,14,0.0,19
pilot_holdout,full,0.5,0.03,0.03,17,163,0.36809815950920244,576,0.027777777777777776,0.3968253968253968,126,0.5384615384615384,13,0.05263157894736842,19
pilot_holdout,full,0.5,0.03,0.03,18,154,0.38311688311688313,585,0.041025641025641026,0.3700787401574803,127,0.6428571428571429,14,0.0,10
pilot_holdout,full,0.5,0.03,0.03,19,151,0.33112582781456956,588,0.03231292517006803,0.33070866141732286,127,0.35714285714285715,14,0.0,7
pilot_holdout,full,0.5,0.03,0.03,20,155,0.36774193548387096,584,0.03424657534246575,0.3643410852713178,129,0.7142857142857143,14,0.0,11
pilot_holdout,full,0.5,0.03,0.03,21,152,0.35526315789473684,587,0.04088586030664395,0.3228346456692913,127,0.7142857142857143,14,0.0,8
pilot_holdout,full,0.5,0.03,0.03,22,153,0.29411764705882354,586,0.04607508532423208,0.2734375,128,0.5714285714285714,14,0.0,9
pilot_holdout,full,0.5,0.03,0.03,23,152,0.45394736842105265,587,0.04599659284497445,0.4453125,128,0.7692307692307693,13,0.0,8
pilot_holdout,full,0.5,0.03,0.03,24,157,0.3630573248407643,582,0.04639175257731959,0.33884297520661155,121,0.7142857142857143,14,0.15384615384615385,13
pilot_holdout,full,0.5,0.03,0.03,25,166,0.25903614457831325,573,0.029668411867364748,0.25196850393700787,127,0.7692307692307693,13,0.0,22
pilot_holdout,full,0.5,0.03,0.03,26,154,0.44155844155844154,585,0.02735042735042735,0.4375,128,0.7142857142857143,14,0.0,10
pilot_holdout,full,0.5,0.03,0.03,27,169,0.3254437869822485,570,0.02982456140350877,0.35537190082644626,121,0.7142857142857143,14,0.0,25
pilot_holdout,full,0.5,0.03,0.03,28,152,0.4473684210526316,587,0.03577512776831346,0.42063492063492064,126,0.7857142857142857,14,0.0,8
pilot_holdout,full,0.5,0.03,0.03,29,161,0.2484472049689441,578,0.04671280276816609,0.21774193548387097,124,0.5714285714285714,14,0.11764705882352941,17
pilot_holdout,full,0.5,0.03,0.03,30,153,0.40522875816993464,586,0.030716723549488054,0.4108527131782946,129,0.6428571428571429,14,0.0,9
pilot_holdout,full,0.5,0.03,0.03,31,155,0.2967741935483871,584,0.032534246575342464,0.30708661417322836,127,0.2857142857142857,14,0.0,11
pilot_holdout,full,0.5,0.03,0.03,32,154,0.38961038961038963,585,0.046153846153846156,0.373015873015873,126,0.7857142857142857,14,0.0,10
pilot_holdout,full,0.5,0.03,0.03,33,155,0.38064516129032255,584,0.039383561643835614,0.34710743801652894,121,0.5714285714285714,14,0.0,11
pilot_holdout,full,0.5,0.03,0.03,34,160,0.3375,579,0.02072538860103627,0.336,125,0.5714285714285714,14,0.0,16
pilot_holdout,full,0.5,0.03,0.03,35,192,0.296875,547,0.012797074954296161,0.392,125,0.5833333333333334,12,0.020833333333333332,48
pilot_holdout,full,0.5,0.03,0.03,36,165,0.3515151515151515,574,0.029616724738675958,0.3543307086614173,127,0.6428571428571429,14,0.047619047619047616,21
pilot_holdout,full,0.5,0.03,0.03,37,169,0.378698224852071,570,0.02631578947368421,0.4146341463414634,123,0.7142857142857143,14,0.0,25
